A	B	C	D	E
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 33.422022 	 11.995456
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 54.505562 	 2.113000
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 68.151666 	 9.790458
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 47.159510 	 22.681389
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 60.218569 	 6.841968
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 57.301225 	 7.238968
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 98.360038 	 22.129198
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 93.805127 	 27.092615
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 99.684071 	 23.967389
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 34.651666 	 7.582458
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 42.192628 	 9.913968
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 43.619733 	 17.417457
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 28.364241 	 7.877078
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 35.483289 	 9.174000
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 52.308077 	 32.948987
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 137.538808 	 37.405379
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 66.802932 	 7.786513
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 83.944222 	 29.576213
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 57.841982 	 9.973968
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 69.510920 	 25.660389
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 99.750818 	 8.055077
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 87.262938 	 31.445389
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 97.046749 	 7.987889
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 78.463195 	 29.055615
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 102.679553 	 15.579456
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 93.174519 	 39.978379
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 31.151666 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 32.482577 	 17.714457
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 38.936095 	 10.039968
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 22.436177 	 8.904998
