A	B	C	D	E
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 45.831581 	 27.551213
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 26.770939 	 6.593078
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 57.600537 	 9.941458
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 48.714899 	 4.015969
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 31.865207 	 6.870968
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 69.719801 	 1.503000
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 57.536837 	 11.785456
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 70.590375 	 8.904998
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 79.562560 	 6.707968
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 72.673340 	 22.539389
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 69.642448 	 26.504615
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 85.528395 	 37.276379
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 92.850438 	 24.021389
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 27.964691 	 6.431968
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 28.213397 	 3.611969
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 42.484865 	 15.094457
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 49.180482 	 27.742213
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 27.587315 	 7.238968
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 66.575026 	 9.790458
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 37.055117 	 11.995456
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 47.846476 	 22.129198
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 60.382746 	 2.113000
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 76.564261 	 22.681389
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 93.342832 	 6.701076
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 108.971855 	 6.746079
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 84.110677 	 27.092615
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 106.496056 	 6.841968
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 109.879873 	 23.967389
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 40.421080 	 17.417457
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 42.575290 	 7.582458
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 26.347713 	 7.987889
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 56.389709 	 9.913968
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 37.276285 	 7.877078
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 135.705412 	 37.405379
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 45.006400 	 27.871196
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 86.083072 	 29.576213
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 56.690948 	 9.973968
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 47.716670 	 25.660389
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 69.221091 	 31.445389
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 59.463531 	 29.055615
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 71.702059 	 15.579456
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 106.052113 	 32.948987
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 124.949675 	 7.786513
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 104.342497 	 39.978379
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 34.151666 	 7.402458
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 37.930678 	 10.039968
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 44.880711 	 17.714457
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 156.449027 	 8.055077
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 58.677976 	 8.546076
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 60.253351 	 10.396968
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 91.660046 	 29.897213
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 87.110343 	 8.739077
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 91.262613 	 15.072513
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 93.956181 	 33.288986
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 84.880581 	 9.174000
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 75.984127 	 31.339389
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 76.296664 	 25.569389
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 93.004914 	 29.574615
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 115.366524 	 39.994988
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 115.306079 	 15.185456
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 105.353236 	 39.989379
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 34.187213 	 5.900968
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 25.730859 	 6.687079
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 41.651666 	 9.941458
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 44.843024 	 14.913457
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 47.455568 	 27.551213
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 54.092744 	 4.015969
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 44.272113 	 6.870968
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 57.771740 	 6.593078
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 59.214014 	 8.904998
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 54.490909 	 11.785456
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 59.847529 	 22.539389
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 93.958580 	 1.503000
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 84.530991 	 6.707968
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 72.431425 	 24.021389
1 	 pm:cp_UTB_1_11 	 pm:cp_Cap_01_1 	 17.905061 	 3.611969
4 	 pm:cp_UTB_4_11 	 pm:cp_Cap_04_1 	 31.051761 	 6.431968
4 	 pm:cp_UTB_4_4 	 pm:cp_Can_04_3 	 33.151666 	 9.790458
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 106.711363 	 37.276379
1 	 pm:cp_UTB_1_4 	 pm:cp_Can_01_3 	 25.030073 	 6.746079
1 	 pm:cp_UTB_1_3 	 pm:cp_Can_01_1 	 28.405450 	 2.113000
4 	 pm:cp_UTB_4_3 	 pm:cp_Can_04_1 	 38.070484 	 15.094457
4 	 pm:cp_UTB_4_12 	 pm:cp_Cap_04_3 	 47.690628 	 27.742213
2 	 pm:cp_UTB_2_4 	 pm:cp_Can_02_3 	 29.697457 	 6.701076
3 	 pm:cp_UTB_3_9 	 pm:cp_Cap_03_1 	 128.622379 	 26.504615
1 	 pm:cp_UTB_1_12 	 pm:cp_Cap_01_3 	 65.760583 	 6.841968
2 	 pm:cp_UTB_2_12 	 pm:cp_Cap_02_3 	 61.748334 	 11.995456
3 	 pm:cp_UTB_3_3 	 pm:cp_Can_03_1 	 62.810250 	 22.681389
3 	 pm:cp_UTB_3_11 	 pm:cp_Cap_03_1 	 68.156099 	 27.092615
3 	 pm:cp_UTB_3_4 	 pm:cp_Can_03_3 	 73.915915 	 23.967389
2 	 pm:cp_UTB_2_3 	 pm:cp_Can_02_1 	 105.312871 	 22.129198
2 	 pm:cp_UTB_2_11 	 pm:cp_Cap_02_1 	 97.201109 	 7.238968
4 	 pm:cp_UTB_4_13 	 pm:cp_Cap_04_1 	 27.132811 	 9.913968
1 	 pm:cp_UTB_1_6 	 pm:cp_Can_01_3 	 27.102443 	 8.055077
4 	 pm:cp_UTB_4_5 	 pm:cp_Can_04_1 	 38.399248 	 17.417457
3 	 pm:cp_UTB_3_12 	 pm:cp_Cap_03_3 	 112.146181 	 37.405379
4 	 pm:cp_UTB_4_6 	 pm:cp_Can_04_3 	 57.795463 	 7.582458
2 	 pm:cp_UTB_2_6 	 pm:cp_Can_02_3 	 37.720256 	 7.877078
4 	 pm:cp_UTB_4_14 	 pm:cp_Cap_04_3 	 66.820535 	 29.576213
1 	 pm:cp_UTB_1_5 	 pm:cp_Can_01_1 	 64.198701 	 7.786513
3 	 pm:cp_UTB_3_5 	 pm:cp_Can_03_1 	 47.852396 	 31.445389
2 	 pm:cp_UTB_2_13 	 pm:cp_Cap_02_1 	 59.622326 	 9.973968
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 69.426353 	 25.660389
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 113.934099 	 32.948987
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 106.619808 	 7.987889
2 	 pm:cp_UTB_2_14 	 pm:cp_Cap_02_3 	 105.249878 	 15.579456
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 100.461600 	 29.055615
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 124.650222 	 27.871196
