A	B	C	D	E
3 	 pm:cp_UTB_3_6 	 pm:cp_Can_03_3 	 64.972705 	 25.660389
2 	 pm:cp_UTB_2_5 	 pm:cp_Can_02_1 	 99.033669 	 9.174000
1 	 pm:cp_UTB_1_13 	 pm:cp_Cap_01_1 	 115.690381 	 32.948987
1 	 pm:cp_UTB_1_14 	 pm:cp_Cap_01_3 	 106.627371 	 7.987889
3 	 pm:cp_UTB_3_13 	 pm:cp_Cap_03_1 	 110.732967 	 29.055615
3 	 pm:cp_UTB_3_14 	 pm:cp_Cap_03_3 	 118.917822 	 39.978379
4 	 pm:cp_UTB_4_15 	 pm:cp_Cap_04_1 	 34.917726 	 10.039968
4 	 pm:cp_UTB_4_8 	 pm:cp_Can_04_3 	 40.509878 	 7.402458
4 	 pm:cp_UTB_4_7 	 pm:cp_Can_04_1 	 43.722722 	 17.714457
2 	 pm:cp_UTB_2_15 	 pm:cp_Cap_02_1 	 40.433113 	 10.396968
2 	 pm:cp_UTB_2_8 	 pm:cp_Can_02_3 	 56.215078 	 8.546076
1 	 pm:cp_UTB_1_7 	 pm:cp_Can_01_1 	 73.102603 	 15.072513
4 	 pm:cp_UTB_4_16 	 pm:cp_Cap_04_3 	 92.172512 	 29.897213
3 	 pm:cp_UTB_3_8 	 pm:cp_Can_03_3 	 55.225725 	 25.569389
1 	 pm:cp_UTB_1_15 	 pm:cp_Cap_01_1 	 101.013385 	 33.288986
1 	 pm:cp_UTB_1_8 	 pm:cp_Can_01_3 	 123.861637 	 8.739077
3 	 pm:cp_UTB_3_7 	 pm:cp_Can_03_1 	 103.917549 	 31.339389
2 	 pm:cp_UTB_2_7 	 pm:cp_Can_02_1 	 113.975555 	 27.871196
3 	 pm:cp_UTB_3_16 	 pm:cp_Cap_03_3 	 97.384159 	 39.989379
1 	 pm:cp_UTB_1_16 	 pm:cp_Cap_01_3 	 119.868391 	 39.994988
3 	 pm:cp_UTB_3_15 	 pm:cp_Cap_03_1 	 109.062721 	 29.574615
4 	 pm:cp_UTB_4_9 	 pm:cp_Cap_04_1 	 28.943787 	 5.900968
2 	 pm:cp_UTB_2_16 	 pm:cp_Cap_02_3 	 129.641139 	 15.185456
4 	 pm:cp_UTB_4_2 	 pm:cp_Can_04_3 	 39.983398 	 9.941458
2 	 pm:cp_UTB_2_1 	 pm:cp_Can_02_1 	 29.078883 	 8.904998
4 	 pm:cp_UTB_4_10 	 pm:cp_Cap_04_3 	 49.150483 	 27.551213
2 	 pm:cp_UTB_2_9 	 pm:cp_Cap_02_1 	 24.298240 	 6.870968
1 	 pm:cp_UTB_1_10 	 pm:cp_Cap_01_3 	 40.505402 	 6.707968
4 	 pm:cp_UTB_4_1 	 pm:cp_Can_04_1 	 66.013621 	 14.913457
2 	 pm:cp_UTB_2_10 	 pm:cp_Cap_02_3 	 37.347828 	 11.785456
2 	 pm:cp_UTB_2_2 	 pm:cp_Can_02_3 	 58.647238 	 6.593078
3 	 pm:cp_UTB_3_1 	 pm:cp_Can_03_1 	 58.764747 	 22.539389
1 	 pm:cp_UTB_1_9 	 pm:cp_Cap_01_1 	 89.793663 	 4.015969
1 	 pm:cp_UTB_1_1 	 pm:cp_Can_01_1 	 90.838745 	 1.503000
1 	 pm:cp_UTB_1_2 	 pm:cp_Can_01_3 	 91.245545 	 6.687079
3 	 pm:cp_UTB_3_2 	 pm:cp_Can_03_3 	 74.933558 	 24.021389
3 	 pm:cp_UTB_3_10 	 pm:cp_Cap_03_3 	 105.252656 	 37.276379
